team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Derby County,28,28.5,45.1,30,330,"2,700",30.0,28,18,46,27,1,1,56,0,31.0,30.2,19.2,49.4,411,837,0.93,0.60,1.53,0.90,1.50,1.03,0.64,1.67,1.01,1.65,Championship
Hull City,35,25.5,51.9,30,330,"2,700",30.0,28,17,45,26,2,3,49,0,35.0,32.4,26.2,58.6,562,981,0.93,0.57,1.50,0.87,1.43,1.17,0.87,2.04,1.08,1.95,Championship
Leeds United,26,25.8,61.8,31,341,"2,790",31.0,60,43,103,57,3,4,50,0,59.2,56.1,44.8,100.9,637,1533,1.94,1.39,3.32,1.84,3.23,1.91,1.44,3.35,1.81,3.25,Championship
Luton Town,35,27.2,45.6,30,330,"2,700",30.0,29,22,51,27,2,2,65,5,33.7,32.3,25.9,58.2,370,844,0.97,0.73,1.70,0.90,1.63,1.12,0.86,1.99,1.08,1.94,Championship
Middlesbrough,32,26.0,55.3,30,330,"2,700",30.0,47,36,83,44,3,4,48,2,46.4,43.3,35.4,78.7,604,1427,1.57,1.20,2.77,1.47,2.67,1.55,1.18,2.73,1.44,2.62,Championship
Millwall,30,28.0,41.8,30,330,"2,700",30.0,30,20,50,29,1,2,59,1,35.6,34.1,24.7,58.8,305,865,1.00,0.67,1.67,0.97,1.63,1.19,0.82,2.01,1.14,1.96,Championship
Norwich City,31,25.8,57.1,30,330,"2,700",30.0,47,36,83,46,1,2,64,2,42.6,41.0,30.4,71.4,462,984,1.57,1.20,2.77,1.53,2.73,1.42,1.01,2.43,1.37,2.38,Championship
Oxford United,31,27.2,45.7,31,341,"2,790",31.0,34,27,61,34,0,0,51,0,28.8,28.8,23.7,52.6,352,733,1.10,0.87,1.97,1.10,1.97,0.93,0.77,1.70,0.93,1.70,Championship
Plymouth Argyle,33,25.7,46.2,30,330,"2,700",30.0,27,16,43,25,2,2,54,4,24.1,22.7,16.3,38.9,375,827,0.90,0.53,1.43,0.83,1.37,0.80,0.54,1.35,0.76,1.30,Championship
Portsmouth,34,27.0,43.4,30,330,"2,700",30.0,35,17,52,31,4,5,71,1,33.4,29.5,21.1,50.6,304,812,1.17,0.57,1.73,1.03,1.60,1.11,0.70,1.82,0.98,1.69,Championship
Preston,25,27.4,47.4,30,330,"2,700",30.0,32,23,55,30,2,2,85,4,33.9,32.3,25.7,58.0,375,899,1.07,0.77,1.83,1.00,1.77,1.13,0.86,1.99,1.08,1.93,Championship
QPR,28,26.8,45.7,31,341,"2,790",31.0,32,22,54,31,1,2,62,2,34.2,32.7,24.7,57.4,394,817,1.03,0.71,1.74,1.00,1.71,1.10,0.80,1.90,1.05,1.85,Championship
Sheffield Utd,32,25.2,50.3,30,330,"2,700",30.0,38,23,61,35,3,5,65,2,38.7,34.7,27.1,61.8,420,1064,1.27,0.77,2.03,1.17,1.93,1.29,0.90,2.19,1.16,2.06,Championship
Sheffield Weds,25,27.4,46.5,30,330,"2,700",30.0,41,32,73,39,2,4,50,2,40.3,37.2,30.1,67.2,433,991,1.37,1.07,2.43,1.30,2.37,1.34,1.00,2.35,1.24,2.24,Championship
Stoke City,31,24.5,47.8,30,330,"2,700",30.0,28,20,48,25,3,4,73,0,33.8,30.6,22.9,53.5,409,856,0.93,0.67,1.60,0.83,1.50,1.13,0.76,1.89,1.02,1.78,Championship
Sunderland,27,24.0,48.3,30,330,"2,700",30.0,42,28,70,41,1,4,65,3,39.8,36.7,26.9,63.6,587,1196,1.40,0.93,2.33,1.37,2.30,1.33,0.90,2.22,1.22,2.12,Championship
Swansea City,25,26.1,60.5,30,330,"2,700",30.0,30,23,53,29,1,1,55,1,38.3,37.5,30.6,68.2,552,1178,1.00,0.77,1.77,0.97,1.73,1.28,1.02,2.30,1.25,2.27,Championship
Watford,28,26.3,52.0,30,330,"2,700",30.0,39,23,62,34,5,5,69,2,38.4,34.5,26.4,60.9,552,943,1.30,0.77,2.07,1.13,1.90,1.28,0.88,2.16,1.15,2.03,Championship
West Brom,23,27.5,54.4,30,330,"2,700",30.0,39,31,70,39,0,0,54,0,38.5,38.5,30.8,69.4,592,1092,1.30,1.03,2.33,1.30,2.33,1.28,1.03,2.31,1.28,2.31,Championship
Bari,29,28.7,52.3,24,264,"2,160",24.0,26,20,46,23,3,5,63,1,31.0,27.0,23.3,50.3,406,885,1.08,0.83,1.92,0.96,1.79,1.29,0.97,2.26,1.13,2.10,Serie B
Brescia,24,26.8,45.4,24,264,"2,160",24.0,30,18,48,28,2,2,65,1,28.0,26.4,19.5,45.9,312,748,1.25,0.75,2.00,1.17,1.92,1.17,0.81,1.98,1.10,1.91,Serie B
Carrarese,28,26.4,50.8,24,264,"2,160",24.0,21,16,37,19,2,3,55,2,25.2,23.0,17.9,40.8,377,747,0.87,0.67,1.54,0.79,1.46,1.05,0.74,1.80,0.96,1.70,Serie B
Catanzaro,27,28.6,55.3,24,264,"2,160",24.0,31,23,54,29,2,4,52,2,25.1,21.9,18.7,40.7,349,883,1.29,0.96,2.25,1.21,2.17,1.05,0.78,1.83,0.91,1.69,Serie B
Cesena,26,26.7,49.8,24,264,"2,160",24.0,31,19,50,25,6,7,69,3,31.4,25.8,19.5,45.3,345,798,1.29,0.79,2.08,1.04,1.83,1.31,0.81,2.12,1.07,1.89,Serie B
Cittadella,31,27.4,45.0,24,264,"2,160",24.0,19,14,33,18,1,1,78,2,19.5,18.9,14.1,33.0,328,898,0.79,0.58,1.37,0.75,1.33,0.81,0.59,1.40,0.79,1.37,Serie B
Cosenza,27,26.3,49.9,24,264,"2,160",24.0,22,14,36,19,3,3,82,6,29.3,27.0,20.7,47.6,336,812,0.92,0.58,1.50,0.79,1.37,1.22,0.86,2.08,1.12,1.99,Serie B
Cremonese,26,28.5,59.4,24,264,"2,160",24.0,34,27,61,33,1,1,62,2,33.8,33.0,26.7,59.8,496,1061,1.42,1.13,2.54,1.37,2.50,1.41,1.11,2.52,1.38,2.49,Serie B
Frosinone,31,24.4,46.6,24,264,"2,160",24.0,18,12,30,16,2,3,57,4,24.9,22.5,17.1,39.6,348,795,0.75,0.50,1.25,0.67,1.17,1.04,0.71,1.75,0.94,1.65,Serie B
Juve Stabia,25,24.9,52.5,24,264,"2,160",24.0,25,19,44,24,1,1,68,2,24.2,23.4,18.0,41.4,300,711,1.04,0.79,1.83,1.00,1.79,1.01,0.75,1.76,0.98,1.72,Serie B
Mantova,25,27.9,61.5,24,264,"2,160",24.0,28,19,47,26,2,3,59,3,26.6,24.1,17.5,41.6,330,769,1.17,0.79,1.96,1.08,1.87,1.11,0.73,1.84,1.00,1.74,Serie B
Modena,27,27.0,45.8,24,264,"2,160",24.0,31,22,53,28,3,3,56,4,28.4,26.0,20.3,46.4,337,809,1.29,0.92,2.21,1.17,2.08,1.18,0.85,2.03,1.09,1.93,Serie B
Palermo,27,26.8,49.2,24,264,"2,160",24.0,24,17,41,23,1,2,52,0,35.4,33.8,26.6,60.4,393,862,1.00,0.71,1.71,0.96,1.67,1.47,1.11,2.58,1.41,2.52,Serie B
Pisa,24,26.3,42.8,24,264,"2,160",24.0,37,24,61,34,3,4,50,3,38.3,35.1,24.6,59.7,281,669,1.54,1.00,2.54,1.42,2.42,1.59,1.02,2.62,1.46,2.49,Serie B
Reggiana,28,26.9,45.2,24,264,"2,160",24.0,24,13,37,22,2,2,72,2,24.9,23.3,15.9,39.2,378,669,1.00,0.54,1.54,0.92,1.46,1.04,0.66,1.70,0.97,1.63,Serie B
Salernitana,39,27.6,52.7,24,264,"2,160",24.0,22,11,33,18,4,5,67,4,25.1,21.3,15.9,37.2,432,913,0.92,0.46,1.37,0.75,1.21,1.05,0.66,1.71,0.89,1.55,Serie B
Sampdoria,35,27.5,49.3,24,264,"2,160",24.0,27,13,40,25,2,2,61,4,30.1,28.6,20.4,49.0,333,831,1.13,0.54,1.67,1.04,1.58,1.26,0.85,2.10,1.19,2.04,Serie B
Sassuolo,30,25.8,52.8,24,264,"2,160",24.0,53,37,90,47,6,7,47,2,38.6,33.1,26.6,59.6,420,998,2.21,1.54,3.75,1.96,3.50,1.61,1.11,2.71,1.38,2.48,Serie B
Spezia,26,26.5,47.9,24,264,"2,160",24.0,35,22,57,32,3,5,65,1,38.8,34.7,24.7,59.4,358,791,1.46,0.92,2.37,1.33,2.25,1.62,1.03,2.65,1.45,2.48,Serie B
Südtirol,29,29.1,46.0,24,264,"2,160",24.0,27,21,48,24,3,3,57,2,25.2,23.7,17.8,41.5,309,818,1.13,0.87,2.00,1.00,1.87,1.05,0.74,1.79,0.99,1.73,Serie B
